Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  161.16.197.95           5   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.2           16   547f.ee48.2a41  ARPA   Vlan152
Internet  161.16.198.91           3   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.150.11          19   9c57.ad1e.487d  ARPA   Vlan150
Internet  161.16.152.5            -   0025.b4cc.1440  ARPA   Vlan152
Internet  161.16.150.10           0   001b.9015.a2c2  ARPA   Vlan150
Internet  161.16.153.5            -   0025.b4cc.1440  ARPA   Vlan153
Internet  161.16.154.6            2   0025.b4cc.1340  ARPA   Vlan154
Internet  161.16.150.9           16   ec30.9128.7ac1  ARPA   Vlan150
Internet  161.16.154.5            -   0025.b4cc.1440  ARPA   Vlan154
Internet  161.16.153.6            0   0025.b4cc.1340  ARPA   Vlan153
Internet  161.16.150.8           13   001e.796e.1bc3  ARPA   Vlan150
Internet  161.16.152.6            0   0025.b4cc.1340  ARPA   Vlan152
Internet  161.16.128.1            -   0000.0c07.ac80  ARPA   Vlan128
Internet  161.16.153.24           3   6451.06ee.9850  ARPA   Vlan153
Internet  161.16.161.33           -   0025.b4cc.1440  ARPA   Vlan413
Internet  161.16.153.25           0   6451.06ee.9ee0  ARPA   Vlan153
Internet  161.16.153.26           0   0050.56b3.78bf  ARPA   Vlan153
Internet  161.16.152.27           0   0050.56b3.652b  ARPA   Vlan152
Internet  161.16.161.34          22   00d0.008c.b000  ARPA   Vlan413
Internet  161.16.152.26           2   140d.4f07.a27d  ARPA   Vlan152
Internet  161.16.153.27           1   0050.56b3.719f  ARPA   Vlan153
Internet  161.16.150.19           4   0017.e034.0f4e  ARPA   Vlan150
Internet  161.16.196.65           3   e4c7.22f2.a232  ARPA   Vlan196
Internet  161.16.128.5            -   0025.b4cc.1440  ARPA   Vlan128
Internet  161.16.152.29           0   0050.56b3.3600  ARPA   Vlan152
Internet  161.16.153.28           2   0050.56b3.61d2  ARPA   Vlan153
Internet  161.16.150.18           3   0017.e055.3bd3  ARPA   Vlan150
Internet  161.16.161.37           -   0025.b4cc.1440  ARPA   Vlan423
Internet  161.16.153.29           0   0050.56b3.68f3  ARPA   Vlan153
Internet  161.16.152.28           0   0050.56b3.337e  ARPA   Vlan152
Internet  161.16.150.17           3   0017.e00c.d151  ARPA   Vlan150
Internet  161.16.153.30           0   0050.56b3.2310  ARPA   Vlan153
Internet  161.16.152.31           0   0050.56b3.2910  ARPA   Vlan152
Internet  161.16.154.29           2   d89d.6774.d70c  ARPA   Vlan154
Internet  161.16.161.38           9   00d0.008d.1c00  ARPA   Vlan423
Internet  161.16.198.64          17   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.196.66          11   18e7.282f.1102  ARPA   Vlan196
Internet  161.16.153.31           0   0050.56b3.0519  ARPA   Vlan153
Internet  161.16.152.30           2   000a.49b0.d4d8  ARPA   Vlan152
Internet  161.16.128.6            1   0025.b4cc.1340  ARPA   Vlan128
Internet  161.16.154.28           3   0050.56b3.0234  ARPA   Vlan154
Internet  161.16.152.17          14   000a.49b0.d086  ARPA   Vlan152
Internet  161.16.150.31           2   0025.9095.5cd8  ARPA   Vlan150
Internet  161.16.153.17          22   001f.9d7c.7ac1  ARPA   Vlan153
Internet  161.16.150.30           2   0025.9095.5bc6  ARPA   Vlan150
Internet  161.16.152.16          13   000d.7c00.927c  ARPA   Vlan152
Internet  161.16.153.18           8   001f.9d7c.a2c1  ARPA   Vlan153
Internet  161.16.152.19          16   0010.f327.4a48  ARPA   Vlan152
Internet  161.16.150.29           2   34a8.4eb6.88e0  ARPA   Vlan150
Internet  161.16.150.28          12   0027.f848.f567  ARPA   Vlan150
Internet  161.16.152.18           0   001e.6730.99b1  ARPA   Vlan152
Internet  161.16.150.27           9   0002.ac80.7cb8  ARPA   Vlan150
Internet  161.16.152.21           0   0050.56b3.00d5  ARPA   Vlan152
Internet  161.16.152.20           0   Incomplete      ARPA   
Internet  161.16.154.22           0   0050.56b3.46de  ARPA   Vlan154
Internet  161.16.150.26           1   0027.f866.78cd  ARPA   Vlan150
Internet  161.16.197.74          18   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.153.22           0   0050.56b3.235b  ARPA   Vlan153
Internet  161.16.150.25          12   0027.f866.6da3  ARPA   Vlan150
Internet  161.16.152.23           0   0050.56b3.1457  ARPA   Vlan152
Internet  161.16.153.23           0   6451.06ee.d6a8  ARPA   Vlan153
Internet  161.16.150.24           1   0027.f846.17ab  ARPA   Vlan150
Internet  161.16.152.22           0   0050.56b3.7561  ARPA   Vlan152
Internet  161.16.198.55           0   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.105         12   0cc4.7a18.5d02  ARPA   Vlan152
Internet  161.16.150.103          1   0050.56b3.025b  ARPA   Vlan150
Internet  161.16.154.107         10   0050.56b3.54b8  ARPA   Vlan154
Internet  161.16.153.104          0   0050.56b3.3a23  ARPA   Vlan153
Internet  161.16.153.105         14   0050.56b3.1871  ARPA   Vlan153
Internet  161.16.150.102          0   9c8e.990c.90d2  ARPA   Vlan150
Internet  161.16.154.106          1   1060.4bb4.f1bc  ARPA   Vlan154
Internet  161.16.150.101          0   0050.56b3.3c3f  ARPA   Vlan150
Internet  161.16.153.106         14   0050.56b3.4cfa  ARPA   Vlan153
Internet  161.16.154.105         13   1060.4bb4.f1bc  ARPA   Vlan154
Internet  161.16.152.106          0   0050.56b3.07b9  ARPA   Vlan152
Internet  161.16.154.104          3   6c3b.e5aa.00bc  ARPA   Vlan154
Internet  161.16.153.107         16   0050.56b3.6ae9  ARPA   Vlan153
Internet  161.16.150.100          0   0050.56b3.774a  ARPA   Vlan150
Internet  161.16.152.109          0   0050.56b3.0f49  ARPA   Vlan152
Internet  161.16.153.108          3   0050.56b3.5460  ARPA   Vlan153
Internet  161.16.150.99           0   0050.56b3.2a8e  ARPA   Vlan150
Internet  161.16.154.111          0   2c59.e537.4e04  ARPA   Vlan154
Internet  161.16.199.51           8   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.198.50          15   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.154.110         12   1060.4bb4.02c0  ARPA   Vlan154
Internet  161.16.153.109          3   0050.56b3.3ed4  ARPA   Vlan153
Internet  161.16.152.108          3   0050.56b3.3436  ARPA   Vlan152
Internet  161.16.152.111          2   0050.56b3.4204  ARPA   Vlan152
Internet  161.16.150.97           2   0050.56b3.453a  ARPA   Vlan150
Internet  161.16.153.110          1   0050.56b3.0306  ARPA   Vlan153
Internet  161.16.154.109          0   2c59.e537.5a14  ARPA   Vlan154
Internet  161.16.197.51           1   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.110          8   0050.56b3.5087  ARPA   Vlan152
Internet  161.16.150.96           0   0050.56b3.09a5  ARPA   Vlan150
Internet  161.16.153.111          5   0050.56b3.2593  ARPA   Vlan153
Internet  161.16.154.108          0   0050.56b3.41e9  ARPA   Vlan154
Internet  161.16.150.111          2   0090.c2df.e854  ARPA   Vlan150
Internet  161.16.152.97           0   0050.56b3.4c6a  ARPA   Vlan152
Internet  161.16.153.96           0   0050.56b3.34ea  ARPA   Vlan153
Internet  161.16.154.99           1   0050.56b3.0048  ARPA   Vlan154
Internet  161.16.197.61          19   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.150.110          0   0090.c2df.e85a  ARPA   Vlan150
Internet  161.16.152.96          16   0050.56b3.05cd  ARPA   Vlan152
Internet  161.16.154.98           4   0050.56b3.0046  ARPA   Vlan154
Internet  161.16.150.109         20   0090.c2df.e85c  ARPA   Vlan150
Internet  161.16.154.97           0   0050.56b3.0045  ARPA   Vlan154
Internet  161.16.150.108         22   0090.c2df.e8f2  ARPA   Vlan150
Internet  161.16.152.98           0   0050.56b3.4ad1  ARPA   Vlan152
Internet  161.16.154.96           0   d89d.6727.b9fc  ARPA   Vlan154
Internet  161.16.152.101          1   0cc4.7a18.5d02  ARPA   Vlan152
Internet  161.16.154.103          5   6c3b.e5aa.00bc  ARPA   Vlan154
Internet  161.16.150.107         15   00d0.c9b2.656c  ARPA   Vlan150
Internet  161.16.197.57           9   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.150.106         15   00d0.c9b2.638c  ARPA   Vlan150
Internet  161.16.154.102          0   0050.56b3.1254  ARPA   Vlan154
Internet  161.16.153.102         15   0060.e054.892e  ARPA   Vlan153
Internet  161.16.150.105          0   e411.5bbf.125a  ARPA   Vlan150
Internet  161.16.154.100          1   e411.5bbb.8c0c  ARPA   Vlan154
Internet  161.16.152.102          0   6431.5050.38bc  ARPA   Vlan152
Internet  161.16.150.119          5   00e0.8624.9aa8  ARPA   Vlan150
